question,expected_answer,ground_truth_sources,rag_answer,score,reasoning,citation_score,citation_reasoning,contexts,index
When should a preoperative BNP be ordered?,"when the patient will be admitted post operatively with an age greater than 65, or 45-65 with significant cardiac disease or a revised cardiac risk index score (RCRI) of 1 or more",2025_CAS_Revised_Guidelines.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],0
when should a preoperative echocardiogram be ordered,"an echocardiogram may be considered if clinical assessment is suggestive of an undiagnosed severe obstructive intracardiac abnormality such as aortic stenosis, hypertrophic cardiomyopathy, cardiomyopathy, or severe pulmonary hypertension",2025_CAS_Revised_Guidelines.md,Error: Error executing plan: Error sending backfill request to compactor: Failed to apply logs to the metadata segment,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Failed to apply logs to the metadata segment,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Failed to apply logs to the metadata segment,[],1
how long should a patient fast after any meal containing solids?,six hours,2025_CAS_Revised_Guidelines.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Missing field: [Missing metadata segment],1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Missing field: [Missing metadata segment],1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Missing field: [Missing metadata segment],[],2
how long should a patient fast after infant formula or non-human milk?,six hours,2025_CAS_Revised_Guidelines.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],3
how long should a patient fast after breast milk?,four hours,2025_CAS_Revised_Guidelines.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],4
how long should an adult fast after clear fluids?,two hours,2025_CAS_Revised_Guidelines.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],5
how long should infants and children fast after clear fluids?,one hour,2025_CAS_Revised_Guidelines.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],6
what is the incidence of post dural puncture headache?,1 percent,2025_CAS_Revised_Guidelines.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],7
"following an accidental dural puncture with an epidural needle, what is the incidence of post dural puncture headache (PDPH)?",greater than 50%,2025_CAS_Revised_Guidelines.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],8
what are the consequences of postdural puncture headache?,"increased risk of subdural hematoma, cerebral venous thrombosis, and bacterial meningitits.  Additionally an increased risk of long-term morbidity with increased risk of postpartum depression, chronic headache, and low back pain.",2025_CAS_Revised_Guidelines.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],9
what is the treatment of postdural puncture headache?,"bed rest, hydration, oral analgesics, 300 mg of oral caffeine, sphenopalatine ganglion blocks, epidural blood patch",2025_CAS_Revised_Guidelines.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],10
how long should a patient be monitored after an epidural blood patch?,usually one to two hours in the supine position,2025_CAS_Revised_Guidelines.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],11
what is the recommended fraction of inspired O2( FiO2 ) during one lung ventilation?,.4 to .8,step by step management of onelung ventilation CJA 2014.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],12
what is the recommended positive end expiratory pressure (PEEP) during one lung ventilation?,3-10 cm water,step by step management of onelung ventilation CJA 2014.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],13
What is the recommended oxygen saturation (SaO2) during one lung ventilation (OLV)?,92-96%,step by step management of onelung ventilation CJA 2014.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],14
What is the recommended tidal volume under OLV?,4-6 mL/kg of Ideal body weight (IBW),step by step management of onelung ventilation CJA 2014.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],15
What is the recommend respiratory rate under OLV?,14-16 breaths per minute (bpm),step by step management of onelung ventilation CJA 2014.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],16
what is the recommend peak and plateau pressure under OLV?,30 cm water  and 20 cm water respectively,step by step management of onelung ventilation CJA 2014.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],17
what is the recommended fraction of inspired O2( FiO2 ) during two lung ventilation after one lung ventilation (OLV)?,0.5,step by step management of onelung ventilation CJA 2014.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],18
Why don't we increase the respiratory rate to improve minute ventilation when using small tidal volumes?,High respiratory rates may predispose to significant gas trapping during OL\V,step by step management of onelung ventilation CJA 2014.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],19
"Instead of increase the respiratory rate during OLV, what technique is usually employed?",Permissive hypercapnea,step by step management of onelung ventilation CJA 2014.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],20
what are the independent risk factors for acute lung injury post thoracotomy?,"peak inspiratory pressure more than 40 cm H2o, plateau pressure more than 29 cm H20, excessive perioperative fluids, pneumonectomy, preoperative alcohol abuse",step by step management of onelung ventilation CJA 2014.md,Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error getting collection: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],21
what are the predictors of hypoxemia under OLV,"Right-sided operation, normal preoperative FEV1, Low PaO2 during two lung ventilation, preferential perfusion to the operative lung, supine position, vasodilator use, excessive volatile anesthesia (much greater than 1 MAC), sepsis",step by step management of onelung ventilation CJA 2014.md,Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],22
what is the equation for ideal body weight in men?,50 + (.91 x (height in cm - 152.4)),step by step management of onelung ventilation CJA 2014.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],23
what is the equation for ideal body weight in women?,45.5 + (.91 x (height in cm - 152.4)),step by step management of onelung ventilation CJA 2014.md,Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,1,RAG Error: Error executing plan: Error sending backfill request to compactor: Error getting collection with segments: Collection [066470f9-412a-4837-a00f-9341a4464136] does not exist.,[],24
